id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
25340,(CITY OF NEW YORK?),COMPLIMENTERY BANQUET TO MR. N.C. GOODWIN,GOV,"DELMONICO'S, NEW YORK, NY",BOOKLET; PHOTOGRAPH; 5.5 x 7.5;,COMPLIMENTARY/TESTIMONIAL,"FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; ENGRAVED PHOTO OF N.C. GOODWIN; INCLUDES TOASTS, NAMES OF COMMITTEE AND GUESTS",1886-034,1886-09-11T00:00:00Z,City Of New York?,,,COMPLETE,6,34
25341,PRINCE AND PRINCESS OF WALES,LUNCHEON,GOV,MARLBOROUGH HOUSE,CARD; 8X12;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH; SPON & EVNT NOTED BY FEB ON BACK;,1906-571,1906-07-12T00:00:00Z,Prince And Princess Of Wales,,,COMPLETE,2,13
25343,BOARD OF COOK COUNTY COMMISSIONERS AND CITIZENS OF CHICAGO ON THE OCCASION OF LAYING THE CORNERSTONE OF COOK COUNTY COURT HOUSE,"BANQUET IN HONOR OF CHARLES W. FAIRBANKS, VICE PRESIDENT OF U.S.",GOV,AUDITORIUM HOTEL,BOOKLET; ILLUS; 5.5X7;,COMPLIMENTARY/TESTIMONIAL,WINES LISTED; ILLUSTRATION ON COVER OF MR. COOK; TOASTS AND COMMITTEES LISTED; PHOTOS OF PREVIOUS AND CURRENT COURT HOUSES;,1906-713,1906-09-21T00:00:00Z,Board Of Cook County Commissioners And Citizens Of Chicago On The Occasion Of Laying The Cornerstone Of Cook County Court House,,,COMPLETE,12,21
25344,PUTNAM HOUSE,LUNCHEON,COMMERCIAL,"NEW YORK, NY",BROADSHEET; 4.5X7.25;,N/A,25 CENT LUNCH; PLUS PRICED ITEMS;,1900-600,1900-01-29T00:00:00Z,Putnam House,DOLLARS,$,COMPLETE,2,31
25345,NEW YORK & LIVERPOOL U.S. MAIL STEAMER ARCTIC,BREAKFAST,N/A,N/A,ILLUS. BROADSIDE,N/A,N/A,1853-002,1853-01-01T00:00:00Z,New York & Liverpool U.S. Mail Steamer Arctic,,,COMPLETE,2,34
25346,AMERICAN BANKERS ASSOCIATION,BANQUET,PROF; COM;,"PLANTERS HOTEL, ST. LOUIS, [MO]",BOOKLET; 5 X 7.25;,N/A,GOLD RIBBON; WINES; CREST;,1896-170,1896-09-24T00:00:00Z,American Bankers Association,,,COMPLETE,8,28
25347,U.S.S. LOUISIANA,DAILY MENU,NAV,AT SEA,BROADSIDE; 3.5X5.75;,N/A,N/A,1906-841,1906-11-20T00:00:00Z,U.S.S. Louisiana,,,COMPLETE,2,15
25348,KIND WORDS CLUB;,SYMPOSIUM,SOC,"CEDAR PARK DRIVING CLUB; PHILADELPHIA, PA",FOLDER; COL; ILLUS; 4.5 X 7.5;,SOCIAL,COCKTAILS AND CHAMPAGNE; LITERARY QUOTES; BUFF STOCK; ILLUSTRTION OF MEN AT DINNER;,1906-807,1906-11-09T00:00:00Z,Kind Words Club;,,,COMPLETE,4,16
25349,ROYAL POINCIANA,DINNER,COMMERCIAL,"PALM BEACH, FL",CARD; ILLUS; COL; 5X9;,N/A,HOTEL SEAL AT TOP;,1901-820,1901-04-01T00:00:00Z,Royal Poinciana,,,COMPLETE,2,57
25350,ALCAZAR HOTEL,LUNCHEON,COM,"ST.AUGUSTINE, FLA.",BROADSIDE; HOTEL EMBLEM; COL; 4 X 7.5;,N/A,N/A,1901-739,1901-03-23T00:00:00Z,Alcazar Hotel,,,COMPLETE,2,44
25352,(DRAGON),2ND ANNUAL INITIATION BANQUET,SOC,N/A,BOOKLET; RIBBON TRIM; GOLD DECORATION; 5 X6.5;,ANNUAL EVENT,SPEAKERS & OFFICERS LISTED;,1899-477,1899-06-16T00:00:00Z,Dragon,,,COMPLETE,8,23
25354,HOTEL MANHATTAN,DINNER,COMMERCIAL,42 ST. & MAD.AVE.NY,BROADSIDE; 5.25X8.75;,N/A,ALL ITEMS PRICED;,1906-869,1906-11-29T00:00:00Z,Manhattan Hotel,DOLLARS,$,UNDER REVIEW,2,117
25355,KING EDWARD VII,DINNER FOR 50 GUESTS,GOV,"WINDSOR CASTLE, ENGLAND",CARD; 4 X 6;,OHER (SOC);,MENU IN FRENCH;,1907-609,1907-06-18T00:00:00Z,King Edward Vii,,,COMPLETE,2,15
25357,KING OF SIAM,BREAKFAST,GOV,"THE BRAGANZA, LISBON, PORTUGAL",CARD; COL; ILLUS; 5 X 6.75;,COMPLIMENTARY/TESTIMONIAL,RED AND BLUE CREST; GOLD PRINT; GOLD CROWN; FRENCH;,1897-288,1897-10-21T00:00:00Z,King Of Siam,,,COMPLETE,2,14
25359,ROYAL PALM HOTEL,DINNER,COM,"MIAAMI BISCAYNE BAY,FLA.",BROADSHEET; HOTEL EMBLEM; COL; 4.5 X 8;,N/A,LIST OF LOCAL FISH ON BACK;,1901-746,1901-03-24T00:00:00Z,Royal Palm Hotel,,,COMPLETE,2,41
25361,TAMPA BAY HOTEL,LUNCH,COMMERCIAL,"TAMPA, FL",BROADSIDE; COL; 4.5 X 7;,N/A,N/A,1901-721,1901-03-21T00:00:00Z,Tampa Bay Hotel,,,COMPLETE,2,42
25362,GENERAL LIFE AND FIRE ASSURANCE COMPANY,DINNER,COM,"THE GRAND HOTEL, TRAFALGAR SQUARE, LONDON, [ENGLAND]",FOLDER; 3.5X5,N/A,MUSICAL PROGRAM; FRENCH MENU,1891-057,1891-05-13T00:00:00Z,General Life And Fire Assurance Company,,,COMPLETE,3,27
25365,OMAR KHAYYAM CLUB,DINNER,SOC,"THE FLORENCE, LONDON, ENGLAND",FOLDER; ILLUS; 4.5X6.75;,N/A,FRENCH; QUOTATIONS FROM OMAR KAYYAM; INCLUDES LIST OF GUESTS; ILLUSTRATIONS OF DRINKING MALE AND FEMALE FIGURES ON BOTH COVERS,1893-009,1893-01-27T00:00:00Z,Omar Khayyam Club,,,COMPLETE,4,16
25366,HAMBURG - AMERIKA LINIE,LUNCH,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",CARD; ILLUS; COL; 5 X 8;,N/A,"GERMAN & ENGLISH; ILLUSTRATION OF WOMAN IN CLASSICAL DRESS HOLDING SHIELD WITH INITIALS H.P.A.A.G., AND STEAMER;",1901-707,1901-03-20T00:00:00Z,Hamburg Amerika Linie,,,COMPLETE,2,20
25367,M.P.D. SUPERINTENDENT; INSPECTORS; & CAPTAINS OF POLICE,THIRTEENTH ANNUAL DINNER,GOV,DELMONICO'S NY,FOLDER; ILLUS; COL; 5 X 7.25;,ANNIVERSARY,LAVENDAR; BLUE PRINT; GOLD SEAL OF NYC; FRENCH; LIST OF NOTABLES,1894-012,1894-01-22T00:00:00Z,M.P.D. Superintendent; Inspectors; & Captains Of Police,,,COMPLETE,4,20
25368,HOTEL ALGAZAR,CHRISTMAS DINNER,COMMERCIAL,"ST. AUGUSTINE, FL",BOOKLET; ILLUS; COL; 6X8.5;,RELIGIOUS HOLIDAY,"INCLUDES MUSICAL PROGRAM FOR SACRED CONCERT; CHRISTMAS DECORATIONS, HOTEL SEAL ON COVER; SILK CORD ATTACHMENT;",1898-430,1898-12-25T00:00:00Z,Hotel Alcazar,,,COMPLETE,6,59
25369,UNITED BRITAIN SOCIETIES,DINNER TO ADMIRAL PRINCE LOUIS OF BATTENBERG,PATR,"WALDORF- ASTORIA, NEW YORK",CARD; 4.25 X 6.25;,COMPLIMENTARY/TESTIMONIAL,WINES AND CHAMPAGNE LISTED WITH EACH COURSE; MENU IN FRENCH; SPONSOR AND EVENT NOTED BY FEB;,1905-808,1905-11-09T00:00:00Z,United Britain Societies,,,COMPLETE,2,30
25370,BURKE'S HOTEL & RESTAURANT,DAILY MENU,COMMERCIAL,527 SIXTH AVE. NY,BROADSIDE; 7 X 11;,N/A,ALL PRICES INCLUDED;,1900-105,1900-01-10T00:00:00Z,Burke's Hotel & Restaurant,DOLLARS,$,COMPLETE,2,91
25371,ST. REGIS HOTEL,LUNCH AND DINNER,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,N/A,"MENU IN FRENCH ON ONE SIDE, ENGLISH ON THE OTHER; A LA CARTE MENU;",1905-483,1905-06-19T00:00:00Z,St. Regis Hotel,DOLLARS,$,COMPLETE,2,186
25372,THE SHIP'S COMPANY OF THE U.S.S. LOUISIANA,DINNER IN HONOR OF THE SHIP'S COMPANY OF H.M.S. GOOD HOPE,NAV,"HAMPTON ROADS, VA",FOLDER; ILLUS; COL; 3.5X5;,COMPLIMENTARY/TESTIMONIAL,PHOTO OF U.S.S. [LOUISIANA?]; PROGRAM OF MUSIC LISTED; BOXING BOUTS LISTED;,1907-475,1907-05-03T00:00:00Z,The Ship's Company Of The U.S.S. Louisiana,,,COMPLETE,4,14
25375,FIFTH AVENUE HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",BROADSIDE;5.5X8.5;,DAILY,"HANDWRITTEN NOTE;FIFTH ANE.HOTEL,23.ST.NEW YORK CITY;",1897-096,1897-03-18T00:00:00Z,Fifth Avenue Hotel,,,COMPLETE,2,70
25376,ST. REGIS HOTEL,LUNCHEON,COMMERCIAL,N/A,BROADSHEET;5X8;,DAILY,SAME MENU IN FRENCH ON REVERSE SIDE;,1906-324,1906-03-21T00:00:00Z,St.Regis Hotel,DOLLARS,$,COMPLETE,2,185
25377,RED STAR LINE,BREAKFAST,COMMERCIAL,SS FRIESLAND,CARD;ILL;COL;5X8;,DAILY,HANDWRITTEN MENU DUPLICATED BY SOME MECHANICAL PROCESS;VARIOUS SHIPS AT SEA WITH BIRDS;,1900-529,1900-01-26T00:00:00Z,Red Star Line,,,COMPLETE,2,25
25378,THE WINDSOR,BREAKFAST,HOTEL,"ELIZABETHTOWN,NY",BROADSIDE;5X8,BREAKFAST,N/A,1881-040,1881-01-01T00:00:00Z,The Windsor,,,COMPLETE,2,37
25379,MIDDLESEX CLUB,LINCOLN NIGHT,SOC,"BRUNSWICK HOTEL, BOSTON, MA",FOLDER; ILLUS; 5X6.75;,PATRIOTIC HOLIDAY,GUESTS AND OFFICER LISTED; PHOTO OF LINCOLN ON COVER;,1907-213,1907-02-12T00:00:00Z,Middlesex Club,,,COMPLETE,6,20
25380,ST. REGIS HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,N/A,FRENCH AND ENGLISH;,1906-102,1906-01-27T00:00:00Z,Hotel St. Regis,DOLLARS,$,COMPLETE,2,169
25382,WAUMBEK,SUPPER MENU,COMMERCIAL,"JEFFERSON, NH",BROADSIDE; 4.5X7;,N/A,HOTEL OR INN?;,1896-153,1896-08-16T00:00:00Z,Waumbek,,,COMPLETE,2,38
25383,TENNESSEE CENTENNIAL EXPOSITION,BREAKFAST,COMMERCIAL,[SR RR]ENROUTE NASHVILLE TO WASHINGTON [DC],CARD;5.5X7.5;,COMPLIMENTARY/TESTIMONIAL,N/A,1897-192,1897-06-15T00:00:00Z,Tennessee Centennial Exposition,,,COMPLETE,2,38
25384,CIE GLE TRANSATLANTIQUE,LUNCH,COMMERCIAL,PAQUEBOAT LA GASCOGNE,BROADSIDE; ILLUS; 6 X 9.5;,N/A,PHOTO OF GORGE; FRENCH TRANSLATED INTO ENGLISH;,1894-008,1894-01-15T00:00:00Z,Cie.Gle. Transatlantique,,,COMPLETE,2,20
25385,EVERETT HOUSE,DINNER,COMMERCIAL,"UNION SQUARE, NEW YORK, NY",FOLDER; 7.0X11.0;,N/A,FULLY PRICED BILL OF FARE; HAND WRITTED INSERT; HALF PORTION PRICES QUOTED; PRICED WINE LIST;,1900-131,1900-01-10T00:00:00Z,Everett House,DOLLARS,$,COMPLETE,4,428
25386,FRIENDLY SONS OF ST. PATRICK,101ST ANNIVERSARY DINNER,SOCIAL,"DELMONICO,[NY]",THREE CARDS;ILLUS;4.25X6[MENU];4.5X5.25[TOASTS];,ETHNIC HOLIDAY,MENU ON ONE CARD;TOASTS ON 2 CARDS & SEATING PLAN ON PRINTED PAPER;,1885-011,1885-03-17T00:00:00Z,Friendly Sons Of St.Patrick,,,COMPLETE,6,27
25387,MINNESOTA IRON COMPANY,DINNER,COMMERCIAL,"PULLMAN VESTIBULED TRAIN,ST.JAMES",CARD;4.5X7;,N/A,N/A,1896-123,1896-06-06T00:00:00Z,Minnesota Iron Company,,,COMPLETE,2,28
25388,ST. REGIS HOTEL,DINNER,COMMERCIAL,N/A,BROADSHEET;5X8;,DAILY,ALL ITEMS PRICED;MENU IN ENGLISH ON ONE SIDE & FRENCH ON REVERSE;,1906-147,1906-02-07T00:00:00Z,Hotel St. Regis,DOLLARS,$,COMPLETE,2,119
25389,RHODE ISLAND MEDICAL SOCIETY,"DINNER, NINETY-SIXTH ANNIVERSARY",PROF,"MASONIC BUILDING, PROVIDENCE, RI",CARD; 4.5X7;,COMPLIMENTARY/TESTIMONIAL,N/A,1907-596,1907-06-13T00:00:00Z,Rhode Island Medical Society,,,COMPLETE,2,28
25390,NEW YORK PRESS CLUB,"BANQUET DEDICATED TO JOHN A. COCKERILL, PRESIDENT",PROF,DELMONICO'S,FOL; ILLUS; 5 x 7;,COMPLIMENTARY/TESTIMONIAL,"SILK RIBBON ATTACHMENTS; ILLUSTRATIONS OF JOURNALISTIC ACTIVITIES; FRENCH; INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; PROGRAM OF TOASTS, ALSO INCLUDES ""IMITATIONS""; AT CONCLUSION: ""HOME SWEET HOME""",1888-019,1888-02-16T00:00:00Z,New York Press Club,,,COMPLETE,4,33
25391,PIONEER SONS AND DAUGHTERS OF CHICAGO,DINNER,PATR,"TREMONT HOUSE, THE",FOLDER; ILLUS;,ANNIVERSARY,FLAG; VERSE;,1898-183,1898-05-19T00:00:00Z,Pioneer Sons And Daughters Of Chicago,,,COMPLETE,4,15
25392,HAMBURG - AMERIKA LINIE,FRUHSTUCK/LUNCH,COMMERCIAL,SCHNELIDAMFER AUGUSTE VICTORIA,CARD; 5.0X8.25; ILLUS; COLOR;,N/A,"ILLUS, CASTLES IN BACKGROUND; GODDESS HOLDING ANCHOR IN RIGHT HAND; PLAQUE ENGRAVED H.A.P.A.G.; INSET STEAMSHIP UNDERWAY;",1900-761,1900-02-06T00:00:00Z,Hamburg Amerika Linie,,,COMPLETE,2,18
25393,PENNSYLVANIA RR DINING CARS,DINNER,COMMERCIAL,N/A,CARD; ILLUS; 4X6;,N/A,DRAWING OF LOCOMOTIVE;SEE ALSO 1893-035,1893-032,1893-03-16T00:00:00Z,Pennsylvania Rr Dining Cars,,,COMPLETE,2,27
25394,FIFTH AVENUE HOTEL,BREAKFAST,COMMERCIAL,"MADISON SQUARE, NY",FOLDER; ILLUS; COL; 5.5 X 4.25;,N/A,DRAWING OF HOTEL IN 1852; GRAY;,1900-081,1900-01-09T00:00:00Z,Fifth Avenue Hotel,DOLLARS,$,COMPLETE,3,106
25396,TRANS-MISSISSIPPI AND INTERNATIONAL EXPOSITION,ARMY NAVY DAY DINNER,COMMERCIAL,"MARKEL CAFE, OMAHA, NEBRASKA",CARD; ILLUS; COLOR; 6 X 6;,PATRIOTIC HOLIDAY,FLAG; SUNBURSTS; WINE; PRINTED ON AN ANGLE;,1898-289,1898-10-13T00:00:00Z,Trans Mississippi And International Exposition,,,COMPLETE,2,16
25397,MARQUETTE CLUB,WASHINGTON'S BIRTHDAY BANQUET,SOC,"CHICAGO, IL",FOLDER; ILLUS; 4.5 X 6.25;,SECULAR HOLIDAY,CHAMPAGNE AND LIQUEURS; TOASTS;,1906-227,1906-02-22T00:00:00Z,Marquette Club,,,COMPLETE,4,11
25398,HOTEL NETHERLAND,LUNCHEON,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 5.25X8.5;,DAILY MENU,HOTEL SEAL AT TOP OF MENU;,1900-158,1900-01-11T00:00:00Z,Netherland Hotel,DOLLARS,$,COMPLETE,2,112
25399,WHAT THE ENDS OF THE EARTH TIES INCLUDE,DINNER,PATR,HOTEL SAVOY,FOLDER; ILLUS; COL; 5.25X5.25;,COMPLIMENTARY/TESTIMONIAL,"MENU IN FRENCH; COMPASS LOGO ON COVER; SKETCH OF UNCLE SAM AND JOHN BULL AND MAN WITH ""EARTH HEAD"" ON BACK;",1907-282,1907-03-01T00:00:00Z,What The Ends Of The Earth Ties Include,,,COMPLETE,3,17
25400,MANUFACTURING FURRIERS'ASSOCIATION OF THE US,8TH ANNUAL BANQUET,PROF,DELMONICO'S NY,FOLDER;4.5X6.5;,ANNUAL EVENT,"MENU IN FRENCH;TOASTS LISTED;LIST OF HONORED GUESTS,DINNER & RECEPTION COMMITTEES;",1894-045,1894-04-28T00:00:00Z,Manufacturing Furriers'association Of The Us,,,COMPLETE,4,18
25401,ST. REGIS HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,N/A,FRENCH AND ENGLISH A LA CARTE MENU;,1905-786,1905-10-24T00:00:00Z,St. Regis Hotel,DOLLARS,$,COMPLETE,2,177
25402,AZTEC CLUB,DINNER,SOC,"SHERRY'S, NY",BROADSIDE; ILLUS; COL; 4 X 5.75;,ANNIVERSARY,FLAGS AND INDIAN HEAD; BLUE PRINT; WINES;,1898-290,1898-10-13T00:00:00Z,Aztec Club,,,COMPLETE,2,24
25403,THE ANSONIA,DINNER,COMMERCIAL,"BROADWAY AND 73RD STREET, NEW YORK",CARD; 5.25 X 8.75;,N/A,PRICED MENU; LOGO;,1907-078,1907-01-13T00:00:00Z,The Ansonia,DOLLARS,$,COMPLETE,2,97
25404,ST. REGIS HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,N/A,FRENCH AND ENGLISH;,1906-287,1906-03-09T00:00:00Z,St. Regis Hotel,DOLLARS,$,COMPLETE,2,163
25405,ALCAZAR HOTEL,LUNCHEON,COM,"ST.AUGUSTINE,FLA.",BROADSIDE; HOTEL EMBLEM; COL; 4 X 7.5,N/A,N/A,1901-728,1901-03-22T00:00:00Z,Alcazar Hotel,,,COMPLETE,2,45
25406,HAMBURG-AMERICA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD;ILL;COL;5X8;,DAILY,"SEPARATE GERMAN AND ENGLISH LISTING OF MENU;STEAMSHIP PICTURED;CITYSCAPE BACKGROUND;BUXOM DRESSED WOMAN SURROUNDD BY FRUITS,VEGETABLES,ETC.;",1899-814,1899-12-10T00:00:00Z,Hamburg America Linie,,,COMPLETE,2,34
25408,THE HOLLAND SOCIETY OF NEW YORK,SIXTH ANNUAL DINNER,PATR,LENOX LYCEUM (N.Y.),BOOKLET; ILL; 7X11,N/A,TWO MENUS PRINTED ONE IN DUTCH ONE IN FRENCH; PORTRAIT OF WILHELMINA QUEEN OF THE NETHERLANDS ON THE FRONT COVER; TOASTS LISTED; BACK COVER ILLUSTRATED WITH CROSSED FLAGS OF THE U.S. AND HOLLAND; TWO COPIES,1891-004,1891-01-13T00:00:00Z,The Holland Society Of New York,,,COMPLETE,6,64
25410,UNITED STATES HOTEL,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",BROADSHEET; 7.25X14;,DAILY MENU,INCLUDES PRICED WINE LIST;,1900-161,1900-01-11T00:00:00Z,United States Hotel,DOLLARS,$,COMPLETE,4,230
25411,R.M.S.MAJESTIC,DINNER,COMMERCIAL,N/A,CARD;ILL;COL;4.25X6.25;,DAILY,N/A,1899-490,1899-07-03T00:00:00Z,R.M.S.Majestic,,,COMPLETE,2,22
25412,(S.M.KING UMBERTO),DINNER,N/A,"[PALAIS DU QUIRINAL,ROME,ITALY]",CARD;ILL;COL;4X5.75,OTHER [HOME DINNER],"HANDWRITTEN MATERIAL ON BACK OF CARD, DECORATIVE CROWN AND LEAVES IN LEFT UPPER CORNER,MENU IN FRENCH",1883-005,1883-05-02T00:00:00Z,S.M.King Umberto,,,COMPLETE,2,10
25413,FELISA BALBIN,DINNER,SOC,"GARCIA'S PLACE,YSOR CITY,FLORIDA",BOOKLET;ILLUS; COL;4X5.75;,COMPLIMENTARY/TESTIMONIAL,MENU IN SPANISH;WINES LISTED;,1906-650,1906-07-28T00:00:00Z,Felisa Balbin,,,COMPLETE,8,10
25414,HAMBURG - AMERIKA LINIE,CARTE DU JOUR-DEJEUNER,COMMERCIAL,"RITZ CARLTON RESTAURANT AN BORD DER ""AMERIKA""",CARD; ILLUS; COL; 8.75X12.75;,N/A,A LA CARTE MENU IN FRENCH; MENU HANDWRITTEN IN VIOLET INK; DECORATIVE FLOWER BORDER; ONE OF SEVERAL MENUS FOR DIFFERENT PASSENGER CLASSES ON THIS OCEAN LINER; [DATE INFO SUPPLIED BY FEB];,1906-610,1906-07-22T00:00:00Z,Hamburg Amerika Linie,DEUTSCHE MARKS,DM,COMPLETE,2,62
25416,FLAT IRON RESAURANT AND CAFE,DINNER,COMMERCIAL,"BROADWAY AND 23RD STREET, NY",CARD; 7 X 11.75;,N/A,PRICED MENU;,1907-060,1906-01-09T00:00:00Z,Flatiron Resaurant And Cafe,DOLLARS,$,COMPLETE,2,50
25417,LAFAYETTE PLACE RESTURANT AND CAFE,DAILY MENU,COMMERCIAL,"16,18 AND 20 LAFAYETTE PLACE, NEW YORK CITY",CARD; 5.5X14;,N/A,"PRICED WINE LIST ON BACK; ""GENTLEMEN ONLY"" NOTED ON TOP; HANDWRITTEN SPECIALS;",1907-015,1907-01-01T00:00:00Z,Lafayette Place Resturant And Cafe,DOLLARS,$,COMPLETE,2,232
25418,CIE GLE TRANSATLANTIQUE,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA CHAMPAGNE,FOLDER; 4.5 X 7.75; ILLUS; COL;,N/A,MENU IN FRENCH AND ENGLISH; COLORED ADS IN FOLDOUT;,1900-677,1900-02-03T00:00:00Z,Cie. Gle. Transatlantique,,,COMPLETE,6,42
25419,FRIENDS OF INSPECTOR WM. W. MCLAUGHLIN,COMPLIMENTARY DINNER,PROF,"LAWYERS CLUB, NEW YORK",CARD; 5 X 8;,COMPLIMENTARY/TESTIMONIAL,WINES;,1897-172,1897-05-15T00:00:00Z,Friends Of Inspector Wm. W. Mclaughlin,,,COMPLETE,2,20
25420,RED STAR LINE,BREAKFAST,COMMERCIAL,SS WESTERNLAND,CARD;ILL;COL;5X8;,DAILY,SEASCAPE WITH SAILBOAT IN FOREGROUND IN SHALLOW WATER WITH MEN WADING;,1900-842,1900-02-09T00:00:00Z,Red Star Line,,,COMPLETE,2,15
25421,THE DAILY NEWS,LUNCHEON TO GEORGE W. CHILDS,COMMERCIAL,"THE RICHELIEU, CHICAGO, IL",FOLDER; 4.5 X 5.5;,COMPLIMENTARY/TESTIMONIAL,FRENCH; WINES;,1892-066,1892-05-05T00:00:00Z,The Daily News,,,COMPLETE,4,18
25423,15 OFFICERS OF THE PENN RR,"DINNER TO ALEXANDER CASSATT,PRES. OF PENN. RR",PROF,"QUEEN CITY CLUB, CINCINNATI ,OHIO",BROADSIDE; ILLUS; COL; 5 X 7;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH; WINES LISTED;,1899-621,1899-10-14T00:00:00Z,15 Officers Of The Penn Rr,,,COMPLETE,2,19
25424,TAMPA BAY HOTEL,LUNCH,COMMERCIAL,"TAMPA,FL",BROADSIDE;ILLUS;COL;4.5X7;,DAILY,HOTEL EMBLEM;,1901-274,1901-02-04T00:00:00Z,Tampa Bay Hotel,,,COMPLETE,2,45
25425,COMPAGNIE GENERAL TRANSATLANTIQUE,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA TOURAINE,CARD; ILLUS; COL; 6 X 8;,N/A,MENU IN FRENCH AND ENGLISH; PHOTOS OF STEAMER AND CATHEDRAL; PALE BLUE BORDER;,1907-306,1907-03-16T00:00:00Z,Compagnie General Transatlantique,,,COMPLETE,2,33
25426,MALE PRINCIPALS AND LOCAL SCHOOL BOARDS OF THE BOROUGH OF THE BRONX,"DINNER TO THE HONORABLE JOSEPH A. GOULDEN IN APPRECIATION OF HIS LONG, FAITHFUL AND EFFICIENT SERVICE AS A SCHOOL OFFICIAL OF THE BRONX",PROF,THE ARENA,FOLDER; ILLUS; COL; 3.5X6.5;,COMPLIMENTARY/TESTIMONIAL,WINES LISTED WITH COURSE; MENU IN FRENCH; COVER ON RED STOCK;,1905-940,1905-12-05T00:00:00Z,Male Principals And Local School Boards Of The Borough Of The Bronx,,,COMPLETE,6,22
25427,NEW YORK CENTRAL & HUDSON RIVER R.R. DINING CAR SERVICE,DINNER,COMMERCIAL,EN ROUTE,FOLDER; COL; ILLUS; 5.5 X 7;,N/A,BLUE PAPER; ILLUSTRATION OF GRAND CENTRAL STATION ON FRONT AND RIVER SCENE ON BACK; PRIX FIXE MENU; PRICED WINE LIST; COPY OF MENU AVAILABLE IN AN ENVELOPE FOR MAILING; TRAIN NUMBER AND DATE PRINTED ON BOTTOM OF MENU;,1900-435,1900-01-20T00:00:00Z,New York Central & Hudson River R.R. Dining Car Service,,,COMPLETE,4,72
25428,EUROPA - COLUMBIA,DINNER,COMMERCIAL,"EN ROUTE R.M.S. ""OCEANIC""",FOLDER; ILLUS;COL;4.25X5.75;,DAILY,N/A,1905-556,1905-07-09T00:00:00Z,Europa Columbia,,,COMPLETE,4,23
25429,THE CONFEDERATE VETERAN CAMP OF NY,6TH ANNUAL BANQUET,MIL,"HOTEL ST. DENIS, NY",BOOKLET;ILLUS; COL;6 X 7;,ANNUAL EVENT,MENU IN FRENCH;COMMITTEE MEMBERS NAMED;ALL SPEAKERS LISTED;OFFICERS NAMED;WORDS FOR SONGS 1&2 INCLUDED;,1896-015,1896-01-18T00:00:00Z,The Confederate Veteran Camp Of Ny,,,COMPLETE,12,20
25430,UNIVERSITY OF PENNSYLVANIA DEPARTMENT OF DENTISTRY,FACULTY BANQUET TO THE CLASS OF '97,PROF,"BELLEVUE HOTEL, PHILADELPHIA, PA",BOOKLET; COL; ILLUS; 4.5 X 6.5;,COMPLIMENTARY/TESTIMONIAL,MAROON AND BLUE RIBBON; CREST; MAN IN CAP AND GOWN ON BACK COVER;,1897-217,1897-06-07T00:00:00Z,University Of Pennsylvania Department Of Dentistry,,,COMPLETE,8,15
25431,RED STAR LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. FRIESLAND,CARD; ILLUS; 5 X 8;,N/A,PRICED WINE LIST WITH RATES OF EXCHANGE FROM FRANCS TO OTHER CURRENCIES; SHIP AND GULLS ILLUSTRATION; HANDWRITTEN;,1900-503,1900-01-24T00:00:00Z,Red Star Line,BELGIAN FRANCS,BEF,COMPLETE,2,56
25433,ST. PAUL'S SCHOOL,FAREWELL DINNER TO THE RETIRING HEAD MASTER AND MEMBERS OF THE FACULTY OF ST. PAUL'S SCHOOL,EDUC,"GARDEN CITY HOTEL, GARDEN CIY, NY",CARD; ILLUS; COL; 5.25X8;,COMPLIMENTARY/TESTIMONIAL,ILLUSTRATED WITH GOLD DECORATIVE VINES;,1907-634,1907-06-26T00:00:00Z,St. Paul's School,,,COMPLETE,2,22
25435,CHILD'S,DAILY LUNCH MENU,COMMERCIAL,"602 SIXTH AVENUE, NEW YORK",FOLDER; 6X10;,N/A,PRICED MENU; BRANCHES LISTED;,1907-559,1907-06-01T00:00:00Z,Childs',DOLLARS,$,COMPLETE,4,147
25436,FIFTH AVENUE HOTEL,DINNER,COMMERCIAL,NEW YORK,BROADSIDE; COL; 5.5 X 8.5;,N/A,THIS IS ONE OF A SERIES OF UNIDENTIFIED MENUS WHICH ARE PROPABLY OF THE FIFTH AVENUE HOTEL; BLUE STOCK;,1905-926,1905-12-01T00:00:00Z,Fifth Avenue Hotel,,,COMPLETE,2,76
